epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,8399.14,0.9462,1.0617,1.32238,0.56854,0.5831,0.6573,0.40877,1.26022,1.50089,1.62381,0.00016255,0.00016255,0.00016255
55,8554.51,0.93644,1.0349,1.30741,0.5402,0.59476,0.65062,0.39884,1.24997,1.44636,1.59977,0.0001609,0.0001609,0.0001609
56,8709.18,0.93064,1.03606,1.29679,0.52993,0.60263,0.61773,0.36979,1.29621,1.43554,1.63122,0.00015925,0.00015925,0.00015925
57,8864.14,0.91854,0.99712,1.2956,0.55192,0.6044,0.66715,0.40135,1.27634,1.40312,1.61805,0.0001576,0.0001576,0.0001576
58,9018.51,0.90596,0.99729,1.28137,0.68675,0.52666,0.65544,0.3963,1.25743,1.41442,1.60207,0.00015595,0.00015595,0.00015595
59,9173.62,0.90936,0.95297,1.27685,0.59521,0.55585,0.63958,0.39412,1.25969,1.41793,1.6097,0.0001543,0.0001543,0.0001543
60,9327.85,0.91671,0.96928,1.2808,0.60839,0.55242,0.6461,0.39833,1.27161,1.42841,1.63041,0.00015265,0.00015265,0.00015265
61,9483.84,0.89838,0.95277,1.26671,0.73592,0.5231,0.67122,0.42555,1.24976,1.41246,1.6234,0.000151,0.000151,0.000151
62,9639.87,0.8896,0.94562,1.27171,0.54504,0.61083,0.63458,0.40254,1.22869,1.48252,1.59312,0.00014935,0.00014935,0.00014935
63,9794.78,0.90175,0.96569,1.26996,0.71008,0.52935,0.67432,0.40228,1.23858,1.39654,1.60804,0.0001477,0.0001477,0.0001477
64,9948.96,0.89303,0.92057,1.2622,0.69195,0.63624,0.70396,0.42097,1.26439,1.35478,1.61937,0.00014605,0.00014605,0.00014605
65,10104.1,0.88757,0.95779,1.2693,0.5788,0.65292,0.6721,0.43316,1.2223,1.39904,1.61727,0.0001444,0.0001444,0.0001444
66,10259.2,0.88407,0.93552,1.27105,0.63038,0.56975,0.64671,0.40459,1.24828,1.41238,1.64379,0.00014275,0.00014275,0.00014275
67,10414.6,0.86462,0.90064,1.2455,0.49574,0.71197,0.7147,0.45428,1.24221,1.39529,1.61078,0.0001411,0.0001411,0.0001411
68,10570,0.87473,0.89005,1.25226,0.67387,0.56584,0.65437,0.43068,1.18011,1.54312,1.55535,0.00013945,0.00013945,0.00013945
69,10725.5,0.87372,0.90047,1.2545,0.49084,0.69676,0.63619,0.40532,1.18708,1.42081,1.55391,0.0001378,0.0001378,0.0001378
70,10880.7,0.87345,0.92463,1.26284,0.63643,0.64133,0.69273,0.43013,1.17329,1.3163,1.5564,0.00013615,0.00013615,0.00013615
71,11035.4,0.86148,0.91077,1.24473,0.70399,0.57397,0.6681,0.42734,1.15737,1.30832,1.54586,0.0001345,0.0001345,0.0001345
72,11190.8,0.85178,0.88993,1.23754,0.49454,0.67507,0.66861,0.41568,1.19442,1.52953,1.579,0.00013285,0.00013285,0.00013285
73,11344.7,0.83917,0.8579,1.22306,0.74726,0.55687,0.67099,0.44724,1.17991,1.30597,1.53863,0.0001312,0.0001312,0.0001312
74,11498.6,0.84664,0.86752,1.23233,0.5925,0.59026,0.67432,0.4298,1.17183,1.45838,1.56042,0.00012955,0.00012955,0.00012955
75,11653,0.85799,0.89524,1.24381,0.59625,0.56993,0.63478,0.4233,1.17599,1.50962,1.54494,0.0001279,0.0001279,0.0001279
