epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,4136.99,0.94584,0.76162,1.1244,0.38559,0.6206,0.48777,0.31951,1.32382,1.24341,1.46859,0.00044975,0.00044975,0.00044975
99,4179.12,0.94498,0.72703,1.1054,0.46227,0.6274,0.50983,0.34034,1.32121,1.14728,1.44709,0.0004415,0.0004415,0.0004415
100,4220.96,0.92496,0.73872,1.11468,0.51195,0.67278,0.56686,0.39162,1.27723,1.18867,1.43081,0.00043325,0.00043325,0.00043325
101,4263.52,0.92279,0.73321,1.08588,0.50549,0.57058,0.57813,0.39259,1.30397,1.17504,1.43282,0.000425,0.000425,0.000425
102,4305.08,0.90096,0.71768,1.09589,0.51663,0.56567,0.58443,0.39643,1.306,1.18813,1.4408,0.00041675,0.00041675,0.00041675
103,4346.81,0.93177,0.73321,1.10623,0.43264,0.60253,0.52589,0.35887,1.30992,1.13379,1.44455,0.0004085,0.0004085,0.0004085
104,4388.6,0.90052,0.72925,1.07492,0.42501,0.73106,0.52499,0.34901,1.30807,1.19418,1.43814,0.00040025,0.00040025,0.00040025
105,4430.31,0.89242,0.6991,1.07974,0.55688,0.65374,0.60476,0.43091,1.30699,1.23289,1.45612,0.000392,0.000392,0.000392
106,4472.73,0.90447,0.74694,1.09766,0.50075,0.74404,0.57413,0.40127,1.29497,1.09868,1.43703,0.00038375,0.00038375,0.00038375
107,4514.96,0.89296,0.68359,1.07735,0.42828,0.656,0.5505,0.37992,1.28671,1.18529,1.42384,0.0003755,0.0003755,0.0003755
108,4556.41,0.87414,0.68884,1.07845,0.42233,0.67482,0.57002,0.3982,1.32989,1.16203,1.47447,0.00036725,0.00036725,0.00036725
109,4598.21,0.89875,0.69561,1.08359,0.48723,0.76707,0.58764,0.40641,1.33215,1.19292,1.45793,0.000359,0.000359,0.000359
110,4639.97,0.87467,0.63964,1.0744,0.4621,0.73101,0.5524,0.38314,1.32837,1.17861,1.46257,0.00035075,0.00035075,0.00035075
111,4681.07,0.89535,0.69662,1.08699,0.50764,0.68835,0.61759,0.44744,1.27254,1.15025,1.41245,0.0003425,0.0003425,0.0003425
112,4723.38,0.86679,0.67417,1.08988,0.42096,0.69675,0.54339,0.3745,1.2819,1.18593,1.43773,0.00033425,0.00033425,0.00033425
113,4765.54,0.8567,0.6487,1.06532,0.45649,0.57224,0.50795,0.32484,1.3272,1.23677,1.45901,0.000326,0.000326,0.000326
114,4807.58,0.84574,0.67733,1.08696,0.48909,0.63217,0.53372,0.36078,1.32635,1.1506,1.47512,0.00031775,0.00031775,0.00031775
115,4849.4,0.82518,0.63276,1.05977,0.50347,0.72107,0.58943,0.40188,1.30645,1.16005,1.44419,0.0003095,0.0003095,0.0003095
116,4891.5,0.83214,0.6439,1.07785,0.44326,0.72211,0.6073,0.4096,1.2962,1.15509,1.44397,0.00030125,0.00030125,0.00030125
117,4933.4,0.85327,0.65093,1.06363,0.47735,0.66553,0.57773,0.38686,1.3174,1.24836,1.45637,0.000293,0.000293,0.000293
118,4975.45,0.86305,0.64599,1.07364,0.46423,0.68102,0.55995,0.38716,1.31056,1.20732,1.44798,0.00028475,0.00028475,0.00028475
119,5017.57,0.83781,0.64861,1.04983,0.7685,0.4454,0.56163,0.39092,1.31018,1.25713,1.43955,0.0002765,0.0002765,0.0002765
120,5059.15,0.84133,0.61756,1.05977,0.43175,0.64704,0.53616,0.3739,1.29792,1.23053,1.44337,0.00026825,0.00026825,0.00026825
121,5100.78,0.82894,0.6108,1.06233,0.44865,0.64399,0.56857,0.39553,1.29513,1.23601,1.44936,0.00026,0.00026,0.00026
122,5142.72,0.80375,0.60333,1.03684,0.46127,0.70457,0.51198,0.35619,1.31091,1.24362,1.45388,0.00025175,0.00025175,0.00025175
123,5184.75,0.80605,0.61464,1.0432,0.49963,0.62003,0.54272,0.36501,1.3123,1.22515,1.45782,0.0002435,0.0002435,0.0002435
124,5226.55,0.81699,0.61129,1.04338,0.47701,0.68772,0.55134,0.38109,1.29414,1.20788,1.4564,0.00023525,0.00023525,0.00023525
125,5268.31,0.80011,0.59437,1.03168,0.49186,0.6828,0.54167,0.36337,1.323,1.20241,1.47626,0.000227,0.000227,0.000227
126,5310.54,0.81847,0.6099,1.03564,0.48503,0.67435,0.52895,0.35443,1.31366,1.19026,1.47296,0.00021875,0.00021875,0.00021875
127,5353.4,0.79921,0.58437,1.04703,0.5344,0.59865,0.57095,0.39344,1.29067,1.18096,1.44887,0.0002105,0.0002105,0.0002105
128,5395.13,0.79919,0.60309,1.03318,0.61705,0.55116,0.58714,0.40794,1.26623,1.25242,1.44316,0.00020225,0.00020225,0.00020225
129,5436.95,0.7996,0.58377,1.03711,0.52184,0.57237,0.53536,0.3648,1.27503,1.24575,1.43056,0.000194,0.000194,0.000194
130,5478.62,0.7596,0.56319,1.02026,0.55901,0.54672,0.54796,0.36938,1.26727,1.2008,1.42571,0.00018575,0.00018575,0.00018575
131,5520.94,0.78929,0.57427,1.02027,0.58848,0.53832,0.58693,0.39791,1.2795,1.24962,1.42992,0.0001775,0.0001775,0.0001775
132,5563.31,0.75717,0.57301,1.01705,0.49204,0.68925,0.57223,0.39185,1.25252,1.23017,1.40861,0.00016925,0.00016925,0.00016925
133,5605.06,0.7615,0.58057,1.02861,0.53983,0.63122,0.61836,0.4176,1.23291,1.19114,1.41292,0.000161,0.000161,0.000161
134,5647.06,0.7776,0.5786,1.02228,0.48732,0.60672,0.51601,0.34895,1.27071,1.2059,1.44442,0.00015275,0.00015275,0.00015275
135,5689.32,0.74534,0.53761,1.0152,0.4728,0.64118,0.52653,0.35315,1.26521,1.21857,1.44378,0.0001445,0.0001445,0.0001445
136,5731.28,0.75475,0.56808,1.02618,0.44196,0.6678,0.55615,0.3789,1.27862,1.20901,1.45527,0.00013625,0.00013625,0.00013625
137,5773.49,0.77621,0.55591,1.02059,0.55585,0.56998,0.52319,0.35903,1.28027,1.21009,1.44959,0.000128,0.000128,0.000128
138,5814.89,0.7479,0.53914,1.00609,0.48237,0.57296,0.54335,0.36471,1.29211,1.18365,1.4584,0.00011975,0.00011975,0.00011975
139,5856.84,0.73574,0.53599,1.00149,0.44353,0.61838,0.54102,0.36399,1.28891,1.17949,1.46144,0.0001115,0.0001115,0.0001115
140,5899.02,0.71847,0.51097,0.98541,0.44267,0.62195,0.52253,0.35169,1.28417,1.24871,1.4554,0.00010325,0.00010325,0.00010325
141,5942.36,0.70349,0.52532,0.99835,0.52067,0.51101,0.53583,0.36172,1.30976,1.23091,1.48965,9.5e-05,9.5e-05,9.5e-05
